СП АО ШВЕЙЦАРСКИЙ ЦЕНТР;ШВЕЙЦАРСКИЙ ЦЕНТР;7825338019;1037843067547;191025, город Санкт-Петербург, ул. Марата, д. 11, литер в, помещ. 9-н;город Санкт-Петербург, ул. Марата, д. 11, литер в, помещ. 9-н
ООО КОРОЛЕВСКИЙ ВОЯЖ;КОРОЛЕВСКИЙ ВОЯЖ;7107125439;1187154005796;300012, Тульская область, г. Тула, ул. Михеева, д. 27, кв. 31;Тульская область, г. Тула, ул. Михеева, д. 27, кв. 31
ООО ГИ;ГИ;7706457497;1187746813220;119180, Г.москва, ул Большая Полянка, д. 51а/9, э 8 пом i к 1 оф 84;Г.москва, ул Большая Полянка, д. 51а/9, э 8 пом i к 1 оф 84
ООО ТВЕРЬ-ТУР;ТВЕРЬ-ТУР;6950212195;1176952017770;170016, Тверская область, г. Тверь, Бурашевское ш., д. 64, помещ. 23;Тверская область, г. Тверь, Бурашевское ш., д. 64, помещ. 23
ООО АЙВИСТА ТУР;АЙВИСТА ТУР;7707668902;1087746799425;117452, город Москва, Балаклавский пр-кт, д.28в-стр.а;город Москва, Балаклавский пр-кт, д.28в-стр.а
ООО ВИТА;ВИТА;404008453;1110404000453;649473, Республика Алтай, Усть-Коксинский р-н, с. Тюнгур, ул. Заречная, д.1;Республика Алтай, Усть-Коксинский р-н, с. Тюнгур, ул. Заречная, д.1
АНО САТ ОКНО В МИР;ОКНО В МИР;2801258372;1202800005077;675004, Амурская Область, г. Благовещенск, ул. Шимановского, д. 27, офис 207;Амурская Область, г. Благовещенск, ул. Шимановского, д. 27, офис 207
"ООО "КАМА-ТРЭВЕЛ";"КАМА-ТРЭВЕЛ";5947015660;1065947008357;614068, Пермский Край, г. Пермь, ул. Ленина, д.72, к.б, кв.2;Пермский Край, г. Пермь, ул. Ленина, д.72, к.б, кв.2
ООО «ГОРОДСКИЕ ЭКСКУРСИИ»;«ГОРОДСКИЕ ЭКСКУРСИИ»;7838084964;1197847053227;190000, город Санкт-Петербург, ул. Почтамтская, д. 1, литер а, помещение 16н офис 15;город Санкт-Петербург, ул. Почтамтская, д. 1, литер а, помещение 16н офис 15
"ООО "МАКРИС";МАКРИС;2317033150;1022302719460; 354340, Краснодарский край, г. Сочи, ул. Фрунзе (адлерский Р-н), д.21;Краснодарский край, г. Сочи, ул. Фрунзе (адлерский Р-н), д.21
"ООО"ДОН-ДОСУГ";"ДОН-ДОСУГ";3624003664;1033664509108;396650, Воронежская Область, г. Россошь, ул. 50 Лет Ссср, д.76;Воронежская Область, г. Россошь, ул. 50 Лет Ссср, д.76
"ООО "СВО ТРЭВЕЛ ГРУПП";"СВО ТРЭВЕЛ ГРУПП";7723884322;1137746878818;109651, город Москва, ул. Перерва, д. 26, к. 2, кв. 440;город Москва, ул. Перерва, д. 26, к. 2, кв. 440
"ООО "САРАТОВ ИСТОРИЧЕСКИЙ";"САРАТОВ ИСТОРИЧЕСКИЙ";6453144516;1156451032528;410033, Саратовская область, г. Саратов, ул. Мира, д. 25а, кв. 42;Саратовская область, г. Саратов, ул. Мира, д. 25а, кв. 42
"ООО "ИНТЕРКОН";"ИНТЕРКОН";7816326786;1167847197044;192212, Г.санкт-Петербург, ул. Белградская, д. 26, к. 9, кв. 372; Г.санкт-Петербург, ул. Белградская, д. 26, к. 9, кв. 372
"АССОЦИАЦИЯ "СОТА";"СОТА";6319248977;1206300055620;443035, Самарская Область, г. Самара, пр-кт Юных Пионеров, д. 120, кв. 14;Самарская Область, г. Самара, пр-кт Юных Пионеров, д. 120, кв. 14
"ООО "ТЕЛЕЦКАЯ ГАВАНЬ";"ТЕЛЕЦКАЯ ГАВАНЬ";0407008300;1100407000154;"649154, республика Алтай, Турочакский р-н, с Артыбаш, турбаза "юрток";"республика Алтай, Турочакский р-н, с Артыбаш, турбаза "юрток"
"МАУ "ЦЕНТР ТЮРАГАЙ";"ЦЕНТР ТЮРАГАЙ";1821011318;1131821000541;427820, Удмуртская Республика, Малопургинский Район, с Малая Пурга, пл Победы, д. 1;Удмуртская Республика, Малопургинский Район, с Малая Пурга, пл Победы, д. 1
МБУ ЦЕНТР ОТДЫХА И ТУРИЗМА;ЦЕНТР ОТДЫХА И ТУРИЗМА;4313104816;1024300823370;612600, Кировская Область, г. Котельнич, ул Володарского, д. 10;Кировская Область, г. Котельнич, ул Володарского, д. 10
"ООО "ИМПЕРИЯ ОТДЫХА";"ИМПЕРИЯ ОТДЫХА";2320117347;1032311698451;354071, Краснодарский Край, г. Сочи, ул. Гагарина (центральный Р-н), д.72/1;Краснодарский Край, г. Сочи, ул. Гагарина (центральный Р-н), д.72/1
"ООО "ФИС ТУР";"ФИС ТУР";6949011952;1136952019489;354003, Краснодарский край, г. Сочи, ул. Абрикосовая (центральный Р-н), д. 19, кв. 133;Краснодарский край, г. Сочи, ул. Абрикосовая (центральный Р-н), д. 19, кв. 133
"ООО "ВОДНЫЙ МИР";"ВОДНЫЙ МИР";2703083325;1152703001230;681006, Хабаровский Край, г. Комсомольск-На-Амуре, ул. Зейская, д. 8;Хабаровский Край, г. Комсомольск-На-Амуре, ул. Зейская, д. 8
"ООО "АГЕНТСТВО АПЭК";АПЭК;5008046285;1085047001610;141707, Московская область, г. Долгопрудный, ул. Молодежная, д. 4, кв. 106;Московская область, г. Долгопрудный, ул. Молодежная, д. 4, кв. 106
"АНО "БЕРИНГ";БЕРИНГ;4105127026;1204100002204;684014, Камчатский Край, Елизовский р-н, п. Красный, ул. Шоссейная, д. 28;Камчатский Край, Елизовский р-н, п. Красный, ул. Шоссейная, д. 28
"ООО "ПАСИФИКА ГРУПП";"ПАСИФИКА ГРУПП";4101178982;1174101011402;683024, Камчатский край, г. Петропавловск-Камчатский, Туристический пр-д, д. 10, кв. 8;Камчатский край, г. Петропавловск-Камчатский, Туристический пр-д, д. 10, кв. 8
"ООО "СОЛНЕЧНЫЙ ВЕТЕР";СОЛНЕЧНЫЙ ВЕТЕР;3812524740;1183850029527;664033, Иркутская область, г. Иркутск, ул. Лермонтова, д. 126а, кабинет а-201;Иркутская область, г. Иркутск, ул. Лермонтова, д. 126а, кабинет а-201
"ООО "ЦМСП СПУТНИК";"ЦМСП СПУТНИК";3808054531;1023801027942;664025, Иркутская Область, г. Иркутск, ул. Чкалова, д.39;Иркутская Область, г. Иркутск, ул. Чкалова, д.39
"ООО "БЕРКУТ";"БЕРКУТ";2317037772;1032309871109;354392, Краснодарский Край, г. Сочи, пгт Красная Поляна, ул. Защитников Кавказа, д.62;Краснодарский Край, г. Сочи, пгт Красная Поляна, ул. Защитников Кавказа, д.62
"ООО "ПРИОРИТЕТ";"ПРИОРИТЕТ";6950197860;1166952069426;170100, Тверская область, г. Тверь, Тверской пр-кт, д. 6, офис 106;Тверская область, г. Тверь, Тверской пр-кт, д. 6, офис 106
"ООО "ЧАЙКА ДЖОНАТАН";"ЧАЙКА ДЖОНАТАН";7733317516;1177746187871;125480, город Москва, ул. Героев Панфиловцев, д. 3, к. 1, кв. 289;город Москва, ул. Героев Панфиловцев, д. 3, к. 1, кв. 289
"ООО "УДИВИТЕЛЬНАЯ РУСЬ";"УДИВИТЕЛЬНАЯ РУСЬ";7806541760;1187847124024;195426, Г.санкт-Петербург, ул. Ленская, д. 8, к. 1, кв. 62;Г.санкт-Петербург, ул. Ленская, д. 8, к. 1, кв. 62
"ООО "ОНИКС";ОНИКС;3443087221;1083443005645;400094, Волгоградская область, г. Волгоград, ул. Им Дышлового, д.28;Волгоградская область, г. Волгоград, ул. Им Дышлового, д.28
"ООО "ГЕОСФЕРА";"ГЕОСФЕРА";2464153385;1202400019392;663508, Красноярский край, Партизанский р-н, п Кутурчин, ул Пионерская, д. 12;Красноярский край, Партизанский р-н, п Кутурчин, ул Пионерская, д. 12
"ООО "ЯБПИЭ";"ЯБПИЭ";7606003637;1027600840222;150000, Ярославская Область, г. Ярославль, ул. Свободы, д.2;Ярославская Область, г. Ярославль, ул. Свободы, д.2
"ООО ТК "ИСТОРИИ СИБИРИ";"ИСТОРИИ СИБИРИ";2454026980;1172468029095;662541, Красноярский Край, г. Лесосибирск, Прохладный пер., д. 5;Красноярский Край, г. Лесосибирск, Прохладный пер., д. 5
"ООО "ФЛАГМАН";"ФЛАГМАН";0105059266;1090105002019;385000, Республика Адыгея (адыгея), г. Майкоп, ул. Крестьянская, д. 213, офис 208 а;Республика Адыгея (адыгея), г. Майкоп, ул. Крестьянская, д. 213, офис 208 а
"ООО "ВИРСАВИЯ";"ВИРСАВИЯ";2723166890;1132723007548;682392, Хабаровский край, Имени Полины Осипенко р-н, п. Херпучи, ул. Центральная, д. 1, кв. 1;Хабаровский край, Имени Полины Осипенко р-н, п. Херпучи, ул. Центральная, д. 1, кв. 1
"АНО ЧТКЦ "КОВЧЕГ";"КОВЧЕГ";7415096503;1177400000029;456440, Челябинская Область, г. Чебаркуль, ул. Карпенко, д. 5, кв. 12;Челябинская Область, г. Чебаркуль, ул. Карпенко, д. 5, кв. 12
